synonym_id,node_id,domain,subfield,knowledge_point,surface_form,surface_type,language,stage_label,notes
SYN-0053,HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,比的意义（用两个量相除表示两个量之间的倍比关系）,canonical,zh,Grade 6 semester 1,节点规范名称。强调“比”通过两个量相除来表示两个量之间的倍比关系，比节点 03 更具体。
SYN-0054,HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,比的概念,variant,zh,Grade 6 semester 1,常见等价表述，通常用于说明“比是什么”。在一些语境中范围可能比本节点更宽。
SYN-0055,HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,比的含义,variant,zh,Grade 6 semester 1,常见同义表述。若教材仅说“比的含义”，可能既指基础认识，也指本节点所述的“相除表示关系”。
SYN-0056,HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,比表示两个量的关系,variant,zh,Grade 6 semester 1,概括“比”用于表示两个相关量之间关系的说法，但未显式带出“相除”与“倍比关系”，语义略宽。
SYN-0057,HKG-NODE-NODE-NODE-05,代数,比和比例,比的意义（用两个量相除表示两个量之间的倍比关系）,用两个量相除表示两个量之间的倍比关系,textbook_phrase,zh,Grade 6 semester 1,来自节点规范名称中的定义性核心片段，可作为该节点的高辨识度表述。
SYN-0058,HKG-NODE-NODE-NODE-06,代数,比和比例,比的基本性质,比的基本性质,canonical,zh,Grade 6 semester 1,节点规范名称。作为总括性标题，通常对应保持比值不变的等值变形性质。与完整陈述型节点 HKG-NODE-NODE-0 高度接近。
SYN-0059,HKG-NODE-NODE-NODE-06,代数,比和比例,比的基本性质,比的性质,variant,zh,Grade 6 semester 1,简化表述。若语境未明确“基本”，理论上也可能泛指与比有关的其他性质，因此有轻微泛化。
SYN-0060,HKG-NODE-NODE-0,代数,比和比例,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,canonical,zh,Grade 6 semester 1,节点规范名称。是对“比的基本性质”的完整命题化表述，范围明确。
SYN-0061,HKG-NODE-NODE-0,代数,比和比例,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,比的基本性质,variant,zh,Grade 6 semester 1,标题式简称。与节点 HKG-NODE-NODE-NODE-06 的规范名完全同形，存在同名拆分。
SYN-0062,HKG-NODE-NODE-0,代数,比和比例,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,比的性质,variant,zh,Grade 6 semester 1,更口语化或简化的简称。若脱离上下文，可能泛指比的其他相关性质。
SYN-0063,HKG-NODE-NODE-0,代数,比和比例,比的基本性质：比的前项和后项同时乘或除以同一个非0数，比值不变,比的前项和后项同时乘或除以同一个非0数，比值不变,textbook_phrase,zh,Grade 6 semester 1,该节点核心命题的简明陈述，不含前缀“比的基本性质”。
SYN-0064,HKG-NODE-NODE-NODE-07,代数,比和比例,根据给定的比，把一个总量分成若干份并求各部分量的应用问题,根据给定的比，把一个总量分成若干份并求各部分量的应用问题,canonical,zh,Grade 6 semester 1,节点规范名称。强调已知总量与部分比，求各部分量的应用题结构。与“按比例分配问题”几乎同域。
SYN-0065,HKG-NODE-NODE-NODE-07,代数,比和比例,根据给定的比，把一个总量分成若干份并求各部分量的应用问题,按比分配问题,variant,zh,Grade 6 semester 1,小学阶段非常常见的称呼，通常与本节点等价。
SYN-0066,HKG-NODE-NODE-NODE-07,代数,比和比例,根据给定的比，把一个总量分成若干份并求各部分量的应用问题,比例分配问题,variant,zh,Grade 6 semester 1,与“按比分配问题”近义，但有时“比例分配”在更高学段或更广语境中也可指按某比例系数分配。此处仍大体同域。
SYN-0067,HKG-NODE-NODE-NODE-08,代数,比和比例,按比例分配问题,按比例分配问题,canonical,zh,Grade 6 semester 1,节点规范名称。标准应用题类型名，表示已知总量和各部分的比，求各部分数量。
SYN-0068,HKG-NODE-NODE-NODE-08,代数,比和比例,按比例分配问题,按比分配问题,variant,zh,Grade 6 semester 1,小学教材与教学中常用的同义称呼。与规范名通常同域。
SYN-0069,HKG-NODE-NODE-NODE-08,代数,比和比例,按比例分配问题,比例分配问题,variant,zh,Grade 6 semester 1,省略“按”字的常见称呼。可能在少量语境中被泛化。
SYN-0070,HKG-NODE-NODE-NODE-08,代数,比和比例,按比例分配问题,按比分配应用题,variant,zh,Grade 6 semester 1,突出题型属性的表述，与本节点范围一致。
SYN-0071,HKG-NODE-NODE-NODE-13,代数,比和比例,判断两个相关量是否成正比例,判断两个相关量是否成正比例,canonical,zh,Grade 6 semester 1,节点规范名称。强调对正比例关系的识别与判断，而非仅定义本身。
SYN-0072,HKG-NODE-NODE-NODE-13,代数,比和比例,判断两个相关量是否成正比例,正比例关系,variant,zh,Grade 6 semester 1,常见名称，但既可指关系概念本身，也可指判断、应用、图像等更宽内容。此处按识别判断范围收录。
SYN-0073,HKG-NODE-NODE-NODE-13,代数,比和比例,判断两个相关量是否成正比例,成正比例,variant,zh,Grade 6 semester 1,常见短语，多用于判断句式，如“这两种量成正比例”。单独出现时省略了“判断”操作。
SYN-0074,HKG-NODE-NODE-NODE-13,代数,比和比例,判断两个相关量是否成正比例,两种量成正比例,variant,zh,Grade 6 semester 1,强调对象为两种相关量，常用于题目或结论表达。
SYN-0075,HKG-NODE-NODE-NODE-14,代数,比和比例,判断两个相关量是否成反比例,判断两个相关量是否成反比例,canonical,zh,Grade 6 semester 1,节点规范名称。强调对反比例关系的识别与判断。
SYN-0076,HKG-NODE-NODE-NODE-14,代数,比和比例,判断两个相关量是否成反比例,反比例关系,variant,zh,Grade 6 semester 1,常见名称，但既可能指概念，也可能指判断、应用等更宽范围。此处按识别判断范围收录。
SYN-0077,HKG-NODE-NODE-NODE-14,代数,比和比例,判断两个相关量是否成反比例,成反比例,variant,zh,Grade 6 semester 1,常见短语，通常出现在判断性语境中。
SYN-0078,HKG-NODE-NODE-NODE-14,代数,比和比例,判断两个相关量是否成反比例,两种量成反比例,variant,zh,Grade 6 semester 1,强调对象为两种量，常见于判断题、结论句。
SYN-0079,HKG-NODE-NODE-NODE-16,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,canonical,zh,Grade 6 semester 1,节点规范名称。强调利用比例尺建立图上距离与实际距离对应，并进行简单计算。与节点 21 的“简单换算”几乎同域。
SYN-0080,HKG-NODE-NODE-NODE-16,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,比例尺应用,variant,zh,Grade 6 semester 1,常见概括名称，但范围可能过宽，可能包括读比例尺、单位换算、求图距和实距等多个子任务。
SYN-0081,HKG-NODE-NODE-NODE-16,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,根据比例尺求图上距离或实际距离,variant,zh,Grade 6 semester 1,较贴近本节点的操作性表述，强调已知比例尺时的求值任务。
SYN-0082,HKG-NODE-NODE-NODE-16,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单求值,比例尺计算,variant,zh,Grade 6 semester 1,简短常用说法，但略泛，可指更复杂的比例尺相关运算。
SYN-0083,HKG-NODE-NODE-NODE-21,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,canonical,zh,Grade 6 semester 1,节点规范名称。强调利用比例尺在图上距离与实际距离之间进行换算。与节点 16 高度重合。
SYN-0084,HKG-NODE-NODE-NODE-21,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,比例尺应用,variant,zh,Grade 6 semester 1,常见总括表述，通常可覆盖本节点，但不够精确。
SYN-0085,HKG-NODE-NODE-NODE-21,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,图上距离与实际距离的比例,variant,zh,Grade 6 semester 1,接近比例尺所表达的关系，但该表述更像概念性描述，不一定包含“换算/求值”操作。
SYN-0086,HKG-NODE-NODE-NODE-21,代数,比和比例,用比例尺表示图上距离与实际距离的对应关系，并进行简单换算,按比例尺求实际距离或图上距离,variant,zh,Grade 6 semester 1,操作性很强的同义表达，覆盖从比例尺进行简单换算求值的任务。
SYN-0087,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,识别单项式并理解单项式由数与字母的积表示,canonical,zh,Grade 7 semester 1,节点规范名称，强调识别与对“数与字母的积”这一形式的初步理解。
SYN-0088,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,单项式的概念,variant,zh,Grade 7 semester 1,常见概括说法；与节点28“单项式的概念”几乎同形，当前可能存在节点重合，需人工审查是否合并或按教学目标细分。
SYN-0089,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,单项式的定义,variant,zh,Grade 7 semester 1,可指向单项式的入门定义，通常服务于识别单项式；但也可能被用于更严格的定义表述。
SYN-0090,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,认识单项式,textbook_phrase,zh,Grade 7 semester 1,偏教学活动标题，适合本节点“识别与理解”的入门范围。
SYN-0091,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,判断一个代数式是不是单项式,variant,zh,Grade 7 semester 1,属于识别单项式的任务化表达，未超出本节点范围。
SYN-0092,HKG-NODE-NODE-NODE-27,代数,整式,识别单项式并理解单项式由数与字母的积表示,单项式是数与字母的积,textbook_phrase,zh,Grade 7 semester 1,概括本节点核心理解；属于释义型表述，不是精确定义的唯一版本。
SYN-0093,HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,单项式的概念,canonical,zh,Grade 7 semester 1,节点规范名称，聚焦单项式作为一类代数式的概念识别。
SYN-0094,HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,单项式定义,variant,zh,Grade 7 semester 1,紧凑写法，通常与“单项式的定义”同义。
SYN-0095,HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,单项式的定义,variant,zh,Grade 7 semester 1,常见表述，直接对应概念说明。
SYN-0096,HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,什么是单项式,textbook_phrase,zh,Grade 7 semester 1,问答式标题，常用于概念导入。
SYN-0097,HKG-NODE-NODE-NODE-28,代数,整式,单项式的概念,单项式概念,abbreviation,zh,Grade 7 semester 1,省略“的”后的简写形式。
SYN-0099,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,多项式的概念,canonical,zh,Grade 7 semester 1,节点规范名称，聚焦多项式的识别与基本理解。
SYN-0100,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,多项式概念,abbreviation,zh,Grade 7 semester 1,常见简写形式。
SYN-0101,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,什么是多项式,textbook_phrase,zh,Grade 7 semester 1,问答式概念导入表述。
SYN-0102,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,多项式定义,variant,zh,Grade 7 semester 1,紧凑写法，通常与“多项式的定义”同义。
SYN-0103,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,多项式的定义,variant,zh,Grade 7 semester 1,常见概念说明用语。
SYN-0104,HKG-NODE-NODE-NODE-31,代数,整式,多项式的概念,由若干单项式的和组成的整式,textbook_phrase,zh,Grade 7 semester 1,释义型表述，指向多项式概念；属于内容概括而非唯一标准措辞。
SYN-0105,HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,多项式的次数,canonical,zh,Grade 7 semester 1,节点规范名称，指确定多项式次数。
SYN-0106,HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,多项式次数,abbreviation,zh,Grade 7 semester 1,常见省略形式。
SYN-0107,HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,求多项式的次数,variant,zh,Grade 7 semester 1,题型/操作化表达，仍指向本节点。
SYN-0108,HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,确定多项式的次数,variant,zh,Grade 7 semester 1,与“求多项式的次数”基本同义。
SYN-0109,HKG-NODE-NODE-NODE-33,代数,整式,多项式的次数,多项式的最高次数,textbook_phrase,zh,Grade 7 semester 1,可作为概念解释的近义表述；但单独使用时也可能指某个具体多项式中最高次项的次数。
SYN-0110,HKG-NODE-NODE-NODE-38,代数,整式,整式的概念,整式的概念,canonical,zh,Grade 7 semester 1,节点规范名称，指整式作为代数式类别的整体概念。
SYN-0111,HKG-NODE-NODE-NODE-38,代数,整式,整式的概念,整式概念,abbreviation,zh,Grade 7 semester 1,简写形式。
SYN-0112,HKG-NODE-NODE-NODE-38,代数,整式,整式的概念,整式的定义,variant,zh,Grade 7 semester 1,常见概念说明表述。
SYN-0113,HKG-NODE-NODE-NODE-38,代数,整式,整式的概念,什么是整式,textbook_phrase,zh,Grade 7 semester 1,问答式概念导入表述。
SYN-0115,HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,合并同类项化简整式,canonical,zh,Grade 7 semester 1,节点规范名称，强调在化简整式情境中的合并同类项操作。
SYN-0116,HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,合并同类项,variant,zh,Grade 7 semester 1,常用简称；但与节点47规范名完全重合，可能是更基础或更泛化的同一知识点。
SYN-0117,HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,化简整式中的同类项,variant,zh,Grade 7 semester 1,给定同义表达，突出应用场景是整式化简。
SYN-0118,HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,用合并同类项化简整式,textbook_phrase,zh,Grade 7 semester 1,程序性表达，未超出本节点范围。
SYN-0119,HKG-NODE-NODE-NODE-45,代数,整式,合并同类项化简整式,整式化简中的合并同类项,variant,zh,Grade 7 semester 1,强调该操作嵌入整式化简过程。
SYN-0120,HKG-NODE-NODE-NODE-47,代数,整式,合并同类项,合并同类项,canonical,zh,Grade 7 semester 1,节点规范名称，指同类项系数相加减、字母部分不变的基本运算。
SYN-0121,HKG-NODE-NODE-NODE-47,代数,整式,合并同类项,同类项合并,variant,zh,Grade 7 semester 1,语序变体，含义一致。
SYN-0122,HKG-NODE-NODE-NODE-47,代数,整式,合并同类项,整式中的合并同类项,variant,zh,Grade 7 semester 1,给定同义表达，强调对象是整式。
SYN-0124,HKG-NODE-NODE-NODE-47,代数,整式,合并同类项,合并同类项化简整式,variant,zh,Grade 7 semester 1,可作更具体应用说法，但与节点45规范名完全一致，存在节点重叠问题。
SYN-0125,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,二元一次方程组的概念与解的意义,canonical,zh,Grade 7 semester 2,节点规范名称，涵盖识别二元一次方程组及理解其解满足两个方程。
SYN-0126,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,二元一次方程组,variant,zh,Grade 7 semester 2,可指概念，也可泛指整个单元或求解过程；在本节点中仅取概念层含义。
SYN-0127,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,二元一次方程组的解,variant,zh,Grade 7 semester 2,常用于说明解的意义，即一组数同时满足两个方程。
SYN-0128,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,什么是二元一次方程组,textbook_phrase,zh,Grade 7 semester 2,问答式概念导入表述。
SYN-0129,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,二元一次方程组的解的意义,variant,zh,Grade 7 semester 2,突出“解”的含义，不涉及具体解法步骤。
SYN-0130,HKG-NODE-NODE-NODE-49,代数,方程,二元一次方程组的概念与解的意义,二元一次方程组概念,abbreviation,zh,Grade 7 semester 2,简写形式，默认仅取概念部分。
SYN-0131,HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,二元一次方程组的求解,canonical,zh,Grade 7 semester 2,节点规范名称，指对二元一次方程组进行求解并用于基本问题解决。
SYN-0132,HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,解二元一次方程组,variant,zh,Grade 7 semester 2,最常见的操作化表达。
SYN-0133,HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,二元一次方程组及其求解,textbook_phrase,zh,Grade 7 semester 2,单元标题式表述；包含概念与求解两层，当前归入求解节点时有一定泛化。
SYN-0134,HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,求解二元一次方程组,variant,zh,Grade 7 semester 2,与“解二元一次方程组”同义。
SYN-0135,HKG-NODE-NODE-NODE-52,代数,方程,二元一次方程组的求解,二元一次方程组的解法,variant,zh,Grade 7 semester 2,常见课堂表达，指向求解程序而非概念。
SYN-0136,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,一元一次不等式组的求解与公共解集,canonical,zh,Grade 7 semester 2,节点规范名称，涵盖求解及确定公共解集。
SYN-0137,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,一元一次不等式组,variant,zh,Grade 7 semester 2,可指概念、章节或求解内容；在本节点中仅取求解与解集语境。
SYN-0138,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,解一元一次不等式组,variant,zh,Grade 7 semester 2,操作化表达，直接指向本节点。
SYN-0139,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,求不等式组的解集,variant,zh,Grade 7 semester 2,给定同义表达，默认在初中阶段通常指一元一次不等式组。
SYN-0140,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,一元一次不等式组的解集,variant,zh,Grade 7 semester 2,聚焦结果对象“解集”，仍在本节点范围内。
SYN-0141,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,一元一次不等式组的公共解集,variant,zh,Grade 7 semester 2,更突出多个不等式联立后的共同满足范围。
SYN-0142,HKG-NODE-NODE-NODE-58,代数,方程与不等式,一元一次不等式组的求解与公共解集,求一元一次不等式组的公共解,variant,zh,Grade 7 semester 2,任务化表达，与确定公共解集同向。
SYN-0143,HKG-NODE-NODE-NODE-65,代数,不等式,求解一元一次不等式组，并确定其公共解集,求解一元一次不等式组，并确定其公共解集,canonical,zh,Grade 7 semester 2,规范知识点名称，范围包括求解由若干一元一次不等式组成的不等式组，并确定公共解集。
SYN-0144,HKG-NODE-NODE-NODE-65,代数,不等式,求解一元一次不等式组，并确定其公共解集,解一元一次不等式组,variant,zh,Grade 7 semester 2,常见简写说法；通常默认包含求出各不等式解并取公共部分。
SYN-0145,HKG-NODE-NODE-NODE-65,代数,不等式,求解一元一次不等式组，并确定其公共解集,一元一次不等式组的解集,variant,zh,Grade 7 semester 2,可指该类对象的解集问题；表述重心偏结果而非过程，但与本节点范围基本一致。
SYN-0146,HKG-NODE-NODE-NODE-65,代数,不等式,求解一元一次不等式组，并确定其公共解集,不等式组的公共解,variant,zh,Grade 7 semester 2,指多个不等式解集的公共部分；“不等式组”未必限定为一元一次，存在跨节点歧义，需结合上下文判定。
