ambiguity_id,surface_form,admissible_node_ids,admissible_domains_subfields,disambiguation_cues,accepted_context_examples,rejected_context_examples,notes
AMB-011,二次函数,HKG-NODE-NODE-Y-AX-2-BX-C-A-0;HKG-NODE-NODE-Y-AX-BX-C-A-0,代数 / 函数;代数 / 函数,若上下文使用 ax^2 写法，可略偏 HKG-NODE-NODE-Y-AX-2-BX-C-A-0；若使用 ax² 写法或强调‘一般形式’，略偏 HKG-NODE-NODE-Y-AX-BX-C-A-0。但实质差异不足。,识别形如 y=ax^2+bx+c（a≠0）的函数；区分一次函数与二次函数。,求对称轴；研究抛物线开口方向；二次函数最值。,两个节点都是一元二次函数概念/一般式，差异主要来自公式排版而非知识边界。
AMB-012,二次函数的增减性,HKG-NODE-NODE-NODE-130;HKG-NODE-NODE-NODE-131,代数 / 函数;代数 / 函数,若上下文强调“对称轴”“对称轴左侧和右侧”“x=-b/2a”之类分界，应映射到130；若强调“顶点”“以顶点为分界”“顶点左侧和右侧”，应映射到131。,根据对称轴判断二次函数增减性；以顶点为分界讨论增减性,二次函数在整个定义域上单调；一般函数的单调性理论,两个节点同属九年级下册，实质上是以不同表述组织同一类二次函数区间单调性判断；当前仍需依赖上下文选择轴/顶点切入方式。
AMB-013,长方形和正方形的面积计算,HKG-NODE-NODE-NODE-162;HKG-NODE-NODE-NODE-163,几何 / 周长和面积;几何 / 周长和面积,若作为单元级或合并主题标题、未出现公式细化，可暂映射到162；若明确出现“长×宽”“边长×边长”“面积公式应用”等操作性表述，应映射到163。,正方形和长方形面积的计算；长方形面积＝长×宽，正方形面积＝边长×边长,长方形周长；复杂组合图形求面积,162更像合并主题节点，163更像公式化的可操作节点。二者边界来自scope_note而非更强外部证据，后续可考虑规范保留其一或进一步拆分。
AMB-014,面积单位的进率,HKG-NODE-NODE-100;HKG-NODE-NODE-100-02,几何 / 周长和面积;几何 / 周长和面积,若仅讨论相邻常用面积单位之间进率为100这一关系，映射到100；若题目要求把单位互化、进行简单换算，映射到100-02。,相邻面积单位的进率是100；把平方分米化成平方厘米,公顷和平方千米的换算；只认识面积单位名称不谈进率,这是“关系结论”与“结论+换算技能”的边界性歧义，不是跨学段歧义。
AMB-015,圆环面积,HKG-NODE-NODE-NODE-258;HKG-NODE-NODE-NODE-259,几何 / 周长和面积;几何 / 周长和面积,若上下文只是把“圆环的面积”作为知识主题或结果对象，可映射到258；若明确要求“求圆环的面积”“外圆面积减内圆面积”等计算过程，映射到259。,圆环的面积；外圆面积减内圆面积,圆的面积；扇形面积,258与259非常接近，当前更像主题名与计算技能名并存。若图谱要求最小可教节点，后续可能需要人工并点。
AMB-018,点到直线的距离,HKG-NODE-NODE-NODE-302;HKG-NODE-NODE-NODE-304,几何 / 图形的位置关系;几何 / 图形的位置关系,若语境是在命名该概念、作为主题标签或泛指对象间距离，优先指向302；若语境强调“意义”“确定方法”“垂线段长度”或如何作出该距离，优先指向304。,“点到直线的距离是多少”→302；“说明点到直线的距离为什么是垂线段的长度”→304；“求点到直线距离的确定方法”→304。,"“点到x轴的距离”不应映射到302/304；应转到坐标轴距离相关节点。""点到线段的距离""也不应映射到302/304。",这是同一来源下的概念节点与方法节点并存导致的歧义，不是跨学段分裂。
AMB-019,立体图形的展开图,HKG-NODE-NODE-NODE-294;HKG-NODE-NODE-NODE-295,几何 / 基本图形的认识;几何 / 基本图形的认识,若语境强调立体图形与平面展开图的对应关系、可折叠还原、双向判断，优先指向294；若语境只要求识别某立体图形的展开图或从若干图中找出正确展开图，优先指向295。,“由展开图判断能折成什么几何体”→294；“识别正方体的展开图”→295；“立体图形与其展开图的对应识别”→294。,"“设计一种正方体展开图画法”当前不宜直接映射；来源未稳定支持系统性的独立设计任务。""圆柱表面积展开计算""也不应映射到294/295。",该表层词本身既可指对象名，也可指识别任务，方向性需要语境区分。
AMB-020,三角形三边关系,HKG-NODE-NODE-NODE-327;HKG-NODE-NODE-NODE-331,几何 / 三角形;几何 / 三角形,若语境出现明确不等式内容，如“任意两边之和大于第三边”“第三边取值范围”，优先指向327；若只是单元标题、主题标签或宽泛提及三边关系，优先指向331。,“根据三角形三边关系求第三边范围”→327；“本节学习三角形三边关系”→331；“任意两边之差小于第三边”→327。,“三角形内角和”不应映射到327/331；“勾股定理判定直角三角形”也不应映射到327/331。,这里更像细化节点与主题节点并存造成的歧义。
AMB-021,图形旋转,HKG-NODE-NODE-NODE-389;HKG-NODE-NODE-NODE-390,几何 / 图形的位置关系;几何 / 图形的位置关系,若语境把它当作单元主题或泛指旋转内容，优先指向389；若明确说“旋转变换”、强调平面几何变换意义，优先指向390。,“本章学习图形的旋转”→389；“把三角形按给定中心和角度作旋转变换”→390；“平面图形的旋转变换”→390。,“旋转对称”不应直接映射到389/390；“空间几何体旋转形成曲面”也不应映射到389/390。,两节点同学段同来源且近乎同义，更多反映建模重复而非稳定可区分义项。
AMB-023,内接四边形,HKG-NODE-NODE-NODE-396;HKG-NODE-NODE-NODE-399,几何 / 圆;几何 / 圆,当语境强调对象定义、识别“一个四边形的四个顶点在同一圆上”时，映射到概念节点；当语境出现对角互补、性质应用、逆用判定、证明某四边形内接于同一圆时，映射到性质与判定节点。,‘判断下列图形是不是内接四边形’；‘说出内接四边形的定义’；‘已知对角和为180°，判定该四边形是否为内接四边形’；‘利用内接四边形性质求角度’,把所有‘内接四边形’都一律映射到概念节点；把涉及‘对角互补’的证明题仍映射到纯概念节点。,同样的歧义也会波及同组同义面形式‘圆内接四边形’‘圆周四边形’。
AMB-024,条形统计图,HKG-NODE-NODE-NODE-418;HKG-NODE-NODE-NODE-422,概率与统计 / 统计;概率与统计 / 统计,若上下文包含‘绘制、画、制作、根据数据表示’等动词，优先映射到绘制技能节点；若上下文强调‘认识、识别、读取、比较、应用这种统计图’而未要求作图，映射到统计图类型节点。,‘根据数据画条形统计图’；‘制作一幅条形统计图’；‘下面哪幅图是条形统计图’；‘从条形统计图中读取人数’,仅见‘条形统计图’四字且无任务动词时直接固定到某一节点；把‘读图’与‘画图’不加区分地并到单一节点。,这是概念节点与操作节点并存导致的歧义，也对应上方的跨阶段拆分记录。
AMB-025,折线统计图,HKG-NODE-NODE-NODE-433;HKG-NODE-NODE-NODE-434,概率与统计 / 统计;概率与统计 / 统计,若语境强调识读变化趋势或根据数据绘制，映射到综合技能节点；若只是把‘折线统计图’作为统计图种类名称来识别或列举，映射到主题/概念节点。,‘根据数据绘制简单折线统计图’；‘从折线统计图看出销量变化趋势’；‘常见统计图有条形统计图、折线统计图、扇形统计图’,把所有‘折线统计图’都视为纯概念；或把仅列举图名的语境强行判为绘图技能。,当前两节点同年级同学期，可能更适合合并或改为上下位；此处仅标注表面形式歧义。
AMB-026,圆形统计图,HKG-NODE-NODE-NODE-435;HKG-NODE-NODE-NODE-436,概率与统计 / 统计;概率与统计 / 统计,若语境强调‘认识并读取扇形统计图’中的读图任务，映射到435；若仅把它作为扇形统计图/饼图这一图类名称，映射到436。,‘从圆形统计图中读出各部分所占百分比’；‘圆形统计图也叫扇形统计图/饼图’,未区分读图任务与图类名称；把任何出现‘圆形统计图’的题目都固定到单一节点。,这里的歧义来自同一图类的对象节点与操作节点并存；‘饼图’通常也会落在同一组可选节点中。
AMB-027,多位数乘以一位数,HKG-NODE-NODE-NODE-488;HKG-NODE-NODE-NODE-489,算数 / 基础运算;算数 / 基础运算,若语境是单元主题、总括性运算范围，映射到488；若语境明确出现“笔算”“口算”“计算方法”“按位相乘”“进位”等算法执行线索，映射到489。,学习多位数乘以一位数这一单元；笔算多位数乘以一位数；口算和笔算多位数乘以一位数。,两位数乘两位数；三位数乘两位数；只说乘法口诀。,这是同阶段的总括节点与实现方式节点并存造成的歧义，不一定是真正的跨阶段分化。
AMB-028,三位数乘两位数,HKG-NODE-NODE-NODE-524;HKG-NODE-NODE-NODE-525,算数 / 基础运算;算数 / 基础运算,若仅指整数范围内该类乘法题型或单元主题，映射到524；若明确强调“笔算”“竖式”“位值对齐”“部分积”等书写算法，映射到525。,会算三位数乘两位数；三位数乘两位数的笔算；用竖式计算三位数乘两位数。,两位数乘两位数；估算一个积的大致范围但未进入该题型主题。,该歧义来自题型总称与特定算法节点共享表面形式。
AMB-029,除数是两位数的除法,HKG-NODE-NODE-NODE-527;HKG-NODE-NODE-NODE-528,算数 / 基础运算;算数 / 基础运算,若语境是该主题的总体学习范围，映射到528；若语境明确指“笔算除法”“试商”“列竖式”“商的确定”等书面算法流程，映射到527。,学习除数是两位数的除法；除数是两位数的笔算除法；列竖式计算除数是两位数的除法。,除数是一位数的除法；小数除法；分数除法。,这是主题级节点与算法级节点的典型同名歧义。
AMB-030,科学记数法,HKG-NODE-NODE-NODE-580;HKG-NODE-NODE-A-10-N-1-A-10-N,算数 / 基础运算;算数 / 基础运算,若语境泛指用科学记数法表示数这一主题，映射到580；若语境明确写出a×10^n及1≤|a|<10、n为整数等表示规范，映射到HKG-NODE-NODE-A-10-N-1-A-10-N。,用科学记数法表示数；把1200000写成a×10^n形式；满足1≤|a|<10的科学记数法表示。,近似数保留几位有效数字；普通整数读法。,两个节点同阶段且内容高度重叠，一个更偏主题名，一个更偏形式化定义。
AMB-031,互质的判断方法,HKG-NODE-NODE-NODE-612;HKG-NODE-NODE-NODE-613,数论 / 互质和最大公因数;数论 / 互质和最大公因数,若上下文强调“判定依据/方法/公因数只有1/最大公因数是1”等操作性方法，偏向612；若只是笼统说判断两个自然数是否互质、未突出具体方法，偏向613。,“用公因数只有1来说明这两个自然数互质”；“总结互质的判断方法”,“求这两个数的最大公因数”；“判断一个整式与另一个整式是否互素”,两节点同阶段、同来源定位，且知识点表述高度重合，现实中更像重复建点而非稳定可分义项；仅在是否强调‘方法’这一层面上可弱区分。
AMB-033,求最大公因数,HKG-NODE-NODE-NODE-614;HKG-NODE-NODE-NODE-616,数论 / 互质和最大公因数;数论 / 互质和最大公因数,若上下文明确对象为“自然数”，偏向614；若表述为“两个或几个数”但默认仍在小学自然数范围内，可能落到616。仅凭短语本身无法区分。,“求两个自然数的最大公因数”；“求几个数的最大公因数，用列举因数法”,“提取多项式的最大公因式”；“用欧几里得算法证明性质”,614与616主要差别在“自然数”是否明说，但616的范围说明仍回收到自然数，故高度疑似重复节点。
AMB-034,找最大公因数,HKG-NODE-NODE-NODE-614;HKG-NODE-NODE-NODE-616,数论 / 互质和最大公因数;数论 / 互质和最大公因数,与“求最大公因数”相同；出现“自然数”时偏向614，否则常与616混用。,“找两个自然数的最大公因数”；“找几个数的最大公因数”,“找公倍数”；“提取公因式”,口语化表述，教材与练习中可能混用，难作为稳定索引词。
AMB-035,求两个数的最大公因数,HKG-NODE-NODE-NODE-614;HKG-NODE-NODE-NODE-616,数论 / 互质和最大公因数;数论 / 互质和最大公因数,若上下文补出“自然数”或服务于约分、判断互质等小学数论情境，二者都可接纳；无法仅据表面形式唯一映射。,“求两个数的最大公因数，再判断能否约分”；“先列出因数，再求两个数的最大公因数”,“求两个整式的最大公因式”,该短语同时作为614和616的变体给出，是明确的一词多节点现象。
AMB-036,求几个数的最大公因数,HKG-NODE-NODE-NODE-614;HKG-NODE-NODE-NODE-616,数论 / 互质和最大公因数;数论 / 互质和最大公因数,若强调“几个自然数”，偏向614；若仅说“几个数”且仍是小学自然数内容，也可能指616。,“求几个自然数的最大公因数”；“用列举法求几个数的最大公因数”,“求几个多项式的公因式”,与上一条同属节点重叠导致的歧义，而非真正跨学段义项变化。
AMB-037,负数大小比较,HKG-NODE-NODE-NODE-627;HKG-NODE-NODE-NODE-630,数论 / 负数;数与代数 / 负数,两节点阶段、内容几乎一致；若按领域标签细分，627在“数论”域，630在“数与代数”域，但教学任务层面几乎无法区分。,“比较-3和2的大小”；“两个负数谁大谁小”,“比较两个代数式大小”；“比较任意实数函数值大小”,这是领域归类重复造成的歧义，不是学生可感知的不同知识操作。
AMB-038,正负数大小比较,HKG-NODE-NODE-NODE-627;HKG-NODE-NODE-NODE-630,数论 / 负数;数与代数 / 负数,若系统按domain分流可分别落到627或630；否则通常视为同一小学负数比较技能。,“正数、0、负数三者之间比较大小”；“比较-5和0，0和3的大小”,“比较有理数加法结果的大小变化规律”,同义词表明确显示同一表面形式对应两个节点。
AMB-039,有理数的概念,HKG-NODE-NODE-NODE-634;HKG-NODE-NODE-NODE-637,数论 / 有理数、相反数、绝对值;数论 / 有理数、相反数、绝对值,若上下文包含“分类”“正有理数/负有理数/零归类”等，偏向634；若只讨论定义、识别、‘什么是有理数’，偏向637。,“说出什么是有理数”；“学习有理数的概念与分类”,“有理数的大小比较”；“有理数的加减法”,这是同学段内的粒度歧义：634把概念与分类合并，637只保留概念。
AMB-040,互逆命题的概念,HKG-NODE-NODE-NODE-647;HKG-NODE-NODE-NODE-651,数理逻辑 / 互逆命题;离散数学 / 逻辑、量词,若按学科域分流，647属“数理逻辑”，651属“离散数学”；若按教学内容，两者都表示识别互逆命题关系的概念，通常无法仅靠语词区分。,“什么是互逆命题”；“两个命题互为逆命题的含义”,“判断这两个命题是否互为逆命题”,更像跨domain镜像重复，而非不同算子或不同学段意义。
AMB-041,互逆命题的判定,HKG-NODE-NODE-NODE-648;HKG-NODE-NODE-NODE-653,数理逻辑 / 互逆命题;离散数学 / 逻辑、量词,若上下文只要求判断一对命题是否交换条件与结论，偏向648；若同时强调先理解概念再判断，或作为‘概念与判断’合并教学，偏向653。,“判断两个命题是否互为逆命题”；“理解并判断互为逆命题”,“证明原命题与逆命题等价”；“研究逆否命题”,653把概念与判断合并，648只保留判断任务，因此该表面形式存在粒度歧义。
AMB-042,互为逆命题的判断,HKG-NODE-NODE-NODE-648;HKG-NODE-NODE-NODE-653,数理逻辑 / 互逆命题;离散数学 / 逻辑、量词,若是纯技能型‘判断是否互为逆命题’，偏向648；若作为概念学习后的综合表述，偏向653。,“把条件和结论交换后判断是否互为逆命题”；“在理解概念基础上进行互为逆命题的判断”,“互逆命题的概念”；“充分必要条件判断”,同一表面形式在细粒度技能节点和合并节点间冲突。
